DB,Site,Name,Lat,Long,Elevation ,Type,Shoreline_Elevation_Type,Interp,Preferred,Continuous_Discontinuous,Locations_cores,Citation
113,110,Cottonwood Lake,44.84,-99.91,550,2,Rel,1,Y,C,,Grimm et al. (2009)
114,111,Cranberry Glades,38.2,-80.23,1275,2,Rel,1,Y,C,,Watts (1979); Webb and Webb (1988)
115,112,Diamond Pond (Oregon),43.104,-118.816,1260,2,Rel,1,Y,C,1,Wigand (1987)
116,113,East Twin Lake (Nebraska),42.45,-101.43,1060,2,Rel,1,Y,C,,Schmieder et al. (2013)
117,114,Elk Island (E.I.) Pond,53.63333333,-112.85,730,2,Rel,1,Y,C,1,Schweger & Hickman (1989)
118,115,Elk Island Bog,53.63333333,-112.85,730,2,Rel,1,Y,C,1,Schweger & Hickman (1989)
119,116,Ennadai Lake (Keewatin),61.16666667,-100.9166667,310,2,Rel,1,Y,C,1,Nichols (1967)
120,117,Fiddler's Pond,56.25,-120.75,690,2,Rel,1,Y,C,1,White and Mathewes (1982)
121,118,"Fish Creek Park, Forest Pond 2 ",43.44,-109.95,2785,2,Rel,1,Y,C,1,Lynch (1998)
122,119,"Fish Creek Park, Park Pond 1",43.47,-109.96,2720,2,Rel,1,Y,C,1,Lynch (1998)
123,120,"Fish Creek Park, Park Pond 2",43.45,-109.94,2720,2,Rel,1,Y,C,1,Lynch (1998)
124,121,Fracas Lake,36.62,-112.24,2535,2,Rel,1,Y,C,,Chengyu and Jackson (1999)
125,122,Francis Lake,40.97,-74.83,200,2,Rel,1,Y,C,,Watts (1979); Webb (1990)
126,123,Goshen Springs,31.72,-86.13,105,2,Rel,1,Y,C,,Delcourt (1980); Harrison (1988)
127,124,Governor's Branch Pond,39.7,-75.38,15,2,Rel,1,Y,C,,Watts (1979)
128,125,Grave Flats,52.9,-116.8333333,1655,2,Rel,1,Y,C,1,Schweger & Hickman (1989)
129,126,Great Pond Truro,41.98,-70.03,5,2,Rel,1,Y,C,,Winkler and Sanford (1995)
130,127,Hack Pond,37.98,-79.07,675,2,Rel,1,Y,C,,Craig (1969)
